inci_no,descript,alm_date,alm_time,station,clr_date,clr_time,alarms,LastUpdateDate,StartDate,EndDate,Elapsed Time (Days),Elapsed Time (Hours),Elapsed Time (Minutes),Elapsed Time (Seconds)
19-0000150,"Cooking fire, confined to container",1/2/2019,0:27:50,8,1/2/2019,0:56:39,1,05/12/2020 10:51:51,01/02/2019 0:27:50,01/02/2019 0:56:39,0.020,0.480,28.817,1729.000
19-0000205,Passenger vehicle fire,1/2/2019,13:00:43,7,1/2/2019,13:16:45,1,05/12/2020 10:51:51,01/02/2019 13:00:43,01/02/2019 13:16:45,0.011,0.267,16.033,962.000
19-0000250,"Cooking fire, confined to container",1/2/2019,19:39:43,19,1/2/2019,20:11:34,1,05/12/2020 10:51:51,01/02/2019 19:39:43,01/02/2019 20:11:34,0.022,0.531,31.850,1911.000
19-0000300,"Excessive heat, scorch burns with no ignition",1/3/2019,8:00:48,19,1/3/2019,8:14:09,1,05/12/2020 10:51:51,01/03/2019 8:00:48,01/03/2019 8:14:09,0.009,0.222,13.350,801.000
19-0000342,"Outside rubbish, trash or waste fire",1/3/2019,15:46:36,7,1/3/2019,16:11:45,1,05/12/2020 10:51:51,01/03/2019 15:46:36,01/03/2019 16:11:45,0.017,0.419,25.150,1509.000
19-0000501,Passenger vehicle fire,1/4/2019,20:42:56,17,1/4/2019,21:42:46,1,05/12/2020 10:51:51,01/04/2019 20:42:56,01/04/2019 21:42:46,0.042,0.997,59.833,3590.000
19-0000537,Passenger vehicle fire,1/5/2019,3:14:58,7,1/5/2019,4:13:09,1,05/12/2020 10:51:51,01/05/2019 3:14:58,01/05/2019 4:13:09,0.040,0.970,58.183,3491.000
19-0000644,Building fire,1/5/2019,23:30:26,17,1/6/2019,0:14:11,1,05/12/2020 10:51:51,01/05/2019 23:30:26,01/06/2019 0:14:11,0.030,0.729,43.750,2625.000
19-0000708,"Cooking fire, confined to container",1/6/2019,12:01:24,8,1/6/2019,12:08:41,1,05/12/2020 10:51:51,01/06/2019 12:01:24,01/06/2019 12:08:41,0.005,0.121,7.283,437.000
19-0000781,Dumpster or other outside trash receptacle fire,1/6/2019,21:53:47,6,1/6/2019,22:28:25,1,05/12/2020 10:51:51,01/06/2019 21:53:47,01/06/2019 22:28:25,0.024,0.577,34.633,2078.000
19-0000787,"Outside rubbish, trash or waste fire",1/6/2019,23:47:38,6,1/7/2019,0:04:47,1,05/12/2020 10:51:51,01/06/2019 23:47:38,01/07/2019 0:04:47,0.012,0.286,17.150,1029.000
