Month,Percent Return
1,-0.59
2,-8.7
3,-13.1
4,16.59
5,6.11
6,2.02
7,5.32
8,6.45
9,-4.12
10,-3.42
11,9.87
12,3.02
13,-1.34
14,2.14
15,3.39
16,4.72
17,0.29
18,1.92
19,2.2
20,2.63
21,-4.89
22,6.68
23,-0.95
24,3.55
25,-5.5
26,-3.22
27,3.83
28,-8.99
29,0.004
30,-8.78
31,9.24
32,-3.83
33,-8.92
34,7.26
35,4.57
36,-6.06
37,5.8
38,-2.45
39,3.68
40,1.64
41,0.31
42,6.39
43,3.11
44,-1.55
45,-5.35
46,-2.12
47,8.72
48,4.61
49,2.12
50,4.84
51,3.06
52,4.23
53,4.94
54,3.08
55,0.94
56,2
57,2.46
58,-0.91
59,5.4
