Driver,Team,Lap Time,Tire Type,Pit,Lap,Position
Norris,McLaren,1:42.902,Medium,No,1,4
Norris,McLaren,1:40.864,Medium,No,2,4
Norris,McLaren,2:04.410,Medium,No,3,4
Norris,McLaren,2:30.670,Medium,No,4,4
Norris,McLaren,2:45.769,Medium,No,5,4
Norris,McLaren,1:40.663,Medium,No,6,4
Norris,McLaren,1:40.469,Medium,No,7,4
Norris,McLaren,1:40.411,Medium,No,8,4
Norris,McLaren,1:40.196,Medium,No,9,4
Norris,McLaren,1:40.369,Medium,No,10,4
Norris,McLaren,1:40.668,Medium,No,11,4
Norris,McLaren,1:40.652,Medium,No,12,4
Norris,McLaren,1:40.347,Medium,No,13,4
Norris,McLaren,1:40.322,Medium,No,14,4
Norris,McLaren,1:40.360,Medium,No,15,4
Norris,McLaren,1:40.355,Medium,No,16,4
Norris,McLaren,1:39.915,Medium,No,17,4
Norris,McLaren,1:39.944,Medium,No,18,4
Norris,McLaren,1:39.612,Medium,No,19,4
Norris,McLaren,1:39.891,Medium,No,20,4
Norris,McLaren,1:39.474,Medium,No,21,4
Norris,McLaren,1:39.542,Medium,No,22,3
Norris,McLaren,1:39.810,Medium,No,23,3
Norris,McLaren,1:39.789,Medium,No,24,3
Norris,McLaren,1:39.607,Medium,No,25,3
Norris,McLaren,1:39.527,Medium,No,26,2
Norris,McLaren,1:39.093,Medium,No,27,1
Norris,McLaren,1:39.156,Medium,No,28,1
Norris,McLaren,1:39.548,Medium,No,29,1
Norris,McLaren,1:39.705,Medium,No,30,1
Norris,McLaren,1:41.469,Medium,Yes,31,1
Norris,McLaren,1:59.605,Hard,Yes,32,5
Norris,McLaren,1:38.641,Hard,No,33,4
Norris,McLaren,1:38.043,Hard,No,34,4
Norris,McLaren,1:37.918,Hard,No,35,4
Norris,McLaren,1:38.317,Hard,No,36,4
Norris,McLaren,1:38.310,Hard,No,37,4
Norris,McLaren,1:38.081,Hard,No,38,4
Norris,McLaren,1:38.062,Hard,No,39,4
Norris,McLaren,1:38.321,Hard,No,40,4
Norris,McLaren,1:37.966,Hard,No,41,4
Norris,McLaren,1:37.925,Hard,No,42,4
Norris,McLaren,1:38.033,Hard,No,43,4
Norris,McLaren,1:38.229,Hard,No,44,4
Norris,McLaren,1:38.340,Hard,No,45,4
Norris,McLaren,1:38.119,Hard,No,46,4
Norris,McLaren,1:39.194,Hard,No,47,4
Norris,McLaren,1:38.436,Hard,No,48,4
Norris,McLaren,1:38.549,Hard,No,49,4
Norris,McLaren,1:38.813,Hard,No,50,4
Norris,McLaren,14:39.066,Hard,No,51,4
Norris,McLaren,1:39.843,Hard,No,52,3
Norris,McLaren,1:38.347,Hard,No,53,3
Norris,McLaren,1:37.889,Hard,No,54,3
Norris,McLaren,1:37.679,Hard,No,55,3
Norris,McLaren,1:37.758,Hard,No,56,3
Piastri,McLaren,1:43.937,Medium,No,1,5
Piastri,McLaren,1:41.768,Medium,No,2,5
Piastri,McLaren,2:06.009,Medium,No,3,5
Piastri,McLaren,2:29.123,Medium,No,4,5
Piastri,McLaren,2:44.254,Medium,No,5,5
Piastri,McLaren,1:41.753,Medium,No,6,5
Piastri,McLaren,1:41.086,Medium,No,7,5
Piastri,McLaren,1:40.678,Medium,No,8,5
Piastri,McLaren,1:40.285,Medium,No,9,5
Piastri,McLaren,1:40.339,Medium,No,10,5
Piastri,McLaren,1:40.607,Medium,No,11,5
Piastri,McLaren,1:40.696,Medium,No,12,5
Piastri,McLaren,1:40.579,Medium,No,13,5
Piastri,McLaren,1:40.807,Medium,No,14,5
Piastri,McLaren,1:41.013,Medium,No,15,5
Piastri,McLaren,1:40.229,Medium,No,16,5
Piastri,McLaren,1:39.925,Medium,No,17,5
Piastri,McLaren,1:40.006,Medium,No,18,5
Piastri,McLaren,1:39.685,Medium,No,19,5
Piastri,McLaren,1:39.791,Medium,No,20,5
Piastri,McLaren,1:39.711,Medium,No,21,5
Piastri,McLaren,1:39.864,Medium,No,22,4
Piastri,McLaren,1:39.910,Medium,No,23,4
Piastri,McLaren,1:40.269,Medium,No,24,4
Piastri,McLaren,1:39.409,Medium,No,25,4
Piastri,McLaren,1:39.299,Medium,No,26,3
Piastri,McLaren,1:39.016,Medium,No,27,2
Piastri,McLaren,1:39.650,Medium,No,28,2
Piastri,McLaren,1:39.550,Medium,No,29,2
Piastri,McLaren,1:39.661,Medium,No,30,2
Piastri,McLaren,1:40.829,Medium,No,31,3
Piastri,McLaren,1:41.107,Medium,Yes,32,2
Piastri,McLaren,1:59.344,Hard,Yes,33,5
Piastri,McLaren,1:38.495,Hard,No,34,5
Piastri,McLaren,1:38.022,Hard,No,35,5
Piastri,McLaren,1:38.310,Hard,No,36,5
Piastri,McLaren,1:38.490,Hard,No,37,5
Piastri,McLaren,1:38.212,Hard,No,38,5
Piastri,McLaren,1:38.183,Hard,No,39,5
Piastri,McLaren,1:39.348,Hard,No,40,5
Piastri,McLaren,1:38.206,Hard,No,41,5
Piastri,McLaren,1:37.883,Hard,No,42,5
Piastri,McLaren,1:37.984,Hard,No,43,5
Piastri,McLaren,1:38.455,Hard,No,44,5
Piastri,McLaren,1:37.979,Hard,No,45,5
Piastri,McLaren,1:38.320,Hard,No,46,5
Piastri,McLaren,1:38.655,Hard,No,47,5
Piastri,McLaren,1:38.021,Hard,No,48,5
Piastri,McLaren,1:38.023,Hard,No,49,5
Piastri,McLaren,1:37.979,Hard,No,50,5
Piastri,McLaren,1:38.532,Hard,No,51,5
Piastri,McLaren,1:38.180,Hard,No,52,5
Piastri,McLaren,1:39.104,Hard,No,53,5
Piastri,McLaren,1:37.954,Hard,No,54,5
Piastri,McLaren,1:37.924,Hard,No,55,5
Piastri,McLaren,1:39.112,Hard,No,56,5
Versappen,RedBull,1:41.657,Medium,No,1,2
Versappen,RedBull,1:39.991,Medium,No,2,2
Versappen,RedBull,2:02.849,Medium,No,3,2
Versappen,RedBull,2:31.496,Medium,No,4,2
Versappen,RedBull,2:47.623,Medium,No,5,2
Versappen,RedBull,1:39.779,Medium,No,6,2
Versappen,RedBull,1:39.731,Medium,No,7,2
Versappen,RedBull,1:40.082,Medium,No,8,2
Versappen,RedBull,1:40.032,Medium,No,9,2
Versappen,RedBull,1:39.970,Medium,No,10,2
Versappen,RedBull,1:40.246,Medium,No,11,2
Versappen,RedBull,1:40.182,Medium,No,12,2
Versappen,RedBull,1:39.936,Medium,No,13,2
Versappen,RedBull,1:39.846,Medium,No,14,2
Versappen,RedBull,1:40.192,Medium,No,15,2
Versappen,RedBull,1:40.033,Medium,No,16,2
Versappen,RedBull,1:40.160,Medium,No,17,2
Versappen,RedBull,1:39.921,Medium,No,18,2
Versappen,RedBull,1:39.981,Medium,No,19,2
Versappen,RedBull,1:39.986,Medium,No,20,2
Versappen,RedBull,1:39.803,Medium,No,21,2
Versappen,RedBull,1:40.099,Medium,No,22,2
Versappen,RedBull,1:40.420,Medium,No,23,2
Versappen,RedBull,1:40.318,Medium,No,24,2
Versappen,RedBull,1:40.718,Medium,Yes,25,2
Versappen,RedBull,1:59.619,Hard,Yes,26,5
Versappen,RedBull,1:39.046,Hard,No,27,5
Versappen,RedBull,1:38.784,Hard,No,28,5
Versappen,RedBull,1:39.067,Hard,No,29,5
Versappen,RedBull,1:38.750,Hard,No,30,5
Versappen,RedBull,1:39.058,Hard,No,31,5
Versappen,RedBull,1:39.106,Hard,No,32,4
Versappen,RedBull,1:38.827,Hard,No,33,3
Versappen,RedBull,1:39.063,Hard,No,34,3
Versappen,RedBull,1:39.004,Hard,No,35,3
Versappen,RedBull,1:38.715,Hard,No,36,3
Versappen,RedBull,1:38.963,Hard,No,37,3
Versappen,RedBull,1:38.641,Hard,No,38,3
Versappen,RedBull,1:38.358,Hard,No,39,3
Versappen,RedBull,1:38.624,Hard,No,40,3
Versappen,RedBull,1:38.463,Hard,No,41,3
Versappen,RedBull,1:38.117,Hard,No,42,3
Versappen,RedBull,1:38.526,Hard,No,43,3
Versappen,RedBull,1:38.453,Hard,No,44,3
Versappen,RedBull,1:38.269,Hard,No,45,3
Versappen,RedBull,1:38.255,Hard,No,46,3
Versappen,RedBull,1:39.191,Hard,No,47,3
