HARPNUM,NOAA,Number,Class,Peak,Time,USFLUX,MEANGBT,MEANJZH,MEANPOT,SHRGT45,TOTUSJH,MEANGBH,MEANALP,MEANGAM,MEANGBZ,MEANJZD,TOTUSJZ,SAVNCPP,TOTPOT,MEANSHR,AREA_ACR,Class Value
377,11158,22,2011.02.14 01:56,2.29E+22,103.723,0.01958899,14129.66,56.345,3015.888,74.86,0.04121538,60.431,111.241,0.10676716,5.41E+13,1.20E+13,7.14E+23,51.393,945.314636,4.805,745.381,1
401,11166,2,2011.03.06 14:30,2.35E+22,90.899,-0.00173849,9597.931,45.475,1744.633,54.893,-0.00405663,51.832,95.061,0.13252671,3.94E+13,5.05E+12,4.86E+23,44.73,961.502686,4.303,66.343,1
393,11164,3.7,2011.03.06 20:12,6.35E+22,89.238,0.00668007,8901.316,28.829,4435.788,47.789,0.01490614,41.47,97.15,-0.07817341,8.58E+13,3.42E+13,1.10E+24,36.08,1934.446167,4.842,619.857,1
637,11226,2.5,2011.06.06 06:41,2.65E+22,104.938,0.0076348,3160.181,14.941,1671.507,45.459,0.02924855,35.535,105.271,0.01902856,3.91E+13,1.93E+13,2.00E+23,29.753,970.551636,3.967,364.119,1
750,11261,6,2011.08.02 13:48,2.17E+22,105.247,0.02639428,9839.566,42.92,2712.405,68.542,0.07782652,53.33,108.889,0.29631871,5.15E+13,4.45E+13,5.37E+23,43.722,1259.099854,4.777,1084.488,1
750,11261,9.3,2011.08.03 03:57,2.43E+22,105.932,0.0275447,10063.23,43.027,3023.166,66.698,0.07529958,52.101,112.247,-0.00369478,5.43E+13,4.42E+13,5.73E+23,43.566,1285.486938,4.73,1180.703,1
833,11283,18,2011.09.06 22:38,1.74E+22,109.394,0.01196969,8427.838,36.942,1774.993,65.817,0.03531263,50.27,111.56,0.14321876,3.54E+13,2.09E+13,3.48E+23,39.866,1212.428345,4.334,372.198,1
1321,11402,8.7,2012.01.22 03:59,6.58E+22,109.309,-0.00791825,6854.739,32.847,5262.69,58.344,-0.02190245,45.775,111.572,-0.01852124,1.19E+14,2.11E+13,1.01E+24,38.284,3152.664062,4.672,881.484,1
1449,11429,11,2012.03.04 04:05,3.87E+22,57.365,-0.01863864,13609.83,43.887,2350.838,40.023,-0.03136818,50.654,70.847,0.02771197,3.68E+13,3.45E+13,9.13E+23,44.916,1150.173218,4.4,941.923,1
1449,11429,54,2012.03.06 00:24,5.48E+22,87.202,-0.02964434,16724.31,46.041,5246.065,57.959,-0.0487862,51.546,102.845,-0.04081424,8.43E+13,7.89E+13,1.62E+24,46.137,1720.481201,5.152,2164.244,1
